被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
379,4380749,4385815,3574282,2955031,4280386,5039725
380,4380273,4385937,3573991,2954909,4280361,5034906
381,4372959,4385621,3573991,2954934,4280140,5039798
382,4375038,4385549,3573531,2954812,4279820,5040893
383,4378570,4385621,3572514,2954812,4280165,5034565
384,4378570,4385621,3571521,2954689,4280165,5034662
385,4371807,4384990,3571134,2954446,4279919,5041356
386,4370129,4385694,3570214,2954324,4280509,5040650
387,4377267,4384699,3569874,2954421,4280312,5034882
388,4376766,4384286,3569705,2954299,4279968,5034882
389,4369378,4384577,3569487,2954446,4279870,5038606
390,4369779,4384092,3569221,2954299,4279230,5040772
391,4376792,4384384,3568833,2954299,4279107,5034443
392,4374888,4384311,3568833,2954617,4278836,5034370
393,4370229,4384335,3567575,2954836,4278762,5040382
394,4376291,4384141,3566460,2954836,4278221,5040626
395,4376291,4384141,3565589,2955202,4278221,5034370
396,4374763,4384238,3565129,2955592,4278073,5035295
397,4367299,4385112,3566025,2955153,4278221,5040747
398,4365796,4384893,3567308,2954860,4278246,5037145
399,4372258,4384723,3567235,2954665,4277852,5037145
400,4371882,4384577,3567502,2954227,4277606,5034297
401,4365395,4384796,3566969,2954324,4277089,5040285
402,4371957,4384554,3566993,2953836,4277040,5040675
403,4390042,4385257,3566993,2953641,4276302,5034054
404,4400762,4384990,3566558,2953641,4275933,5033713
405,4407475,4385742,3566509,2953836,4275933,5039408
406,4407475,4385742,3566485,2954763,4275392,5037924
407,4420876,4385645,3566315,2954714,4275121,5032228
408,4434426,4385815,3566340,2954665,4274432,5034516
409,4436856,4386349,3566751,2955104,4273546,5038727
410,4444796,4386301,3567114,2954812,4273129,5038727
411,4459724,4386665,3566993,2954421,4272292,5034857
412,4465335,4386956,3567671,2954348,4271751,5034395
413,4463907,4386713,3567550,2954519,4270816,5040796
414,4468340,4385621,3567550,2954519,4270594,5042232
415,4477909,4383923,3567550,2954519,4270151,5036318
416,4479161,4383753,3567986,2954421,4270151,5036025
417,4479161,4383753,3567817,2954446,4270275,5042135
418,4475679,4383534,3568809,2954714,4270151,5041502
419,4480213,4384990,3568931,2955153,4270521,5033202
420,4482517,4386034,3568325,2955397,4269881,5033202
421,4475053,4385985,3568664,2955519,4269709,5032885
422,4472123,4385087,3569245,2955812,4269364,5035879
423,4475830,4384092,3568858,2955567,4269291,5029697
424,4472599,4382976,3568785,2955104,4269389,5027044
425,4461578,4381083,3568785,2954885,4269364,5032885
426,4458472,4379676,3568858,2954885,4270201,5033908
427,4461703,4377661,3569414,2954909,4270201,5028115
428,4461703,4377661,3568640,2954982,4270250,5029843
429,4456117,4376448,3569027,2955299,4270496,5037608
430,4446699,4375161,3568373,2955421,4270176,5039506
431,4448227,4373147,3568156,2956031,4270644,5039506
432,4446123,4371012,3568422,2956372,4270201,5034249
433,4435353,4368973,3568712,2956933,4269979,5036804
434,4431045,4366692,3568809,2957128,4269733,5042208
435,4433825,4364629,3568640,2957421,4269930,5039360
436,4429116,4362736,3568640,2957421,4269487,5037462
437,4417343,4359799,3568688,2957104,4269118,5044788
438,4417343,4357615,3568640,2957055,4269118,5046005
439,4413662,4357615,3568107,2956933,4268675,5040577
440,4415691,4354339,3568180,2957299,4268847,5042086
441,4408326,4351572,3568277,2957616,4268700,5050556
442,4400362,4348733,3568131,2958738,4268577,5050556
443,4403342,4345505,3567986,2960226,4268479,5052406
444,4401313,4342253,3568156,2962176,4267839,5048025
445,4390844,4339025,3568349,2963566,4267937,5050849
446,4389190,4336453,3568059,2965176,4267175,5056277
447,4393449,4332982,3568059,2965176,4266633,5052333
448,4389165,4329706,3568252,2966005,4266633,5051798
449,4389165,4326309,3568446,2968175,4265305,5059319
450,4381300,4326309,3567671,2970638,4264419,5060317
451,4382578,4323857,3567429,2970980,4262451,5054987
452,4383479,4320387,3567817,2970272,4260138,5055692
453,4374487,4317912,3567526,2969736,4257703,5055692
454,4372208,4314611,3566727,2969102,4255218,5063481
455,4376842,4312499,3566000,2967907,4253668,5060560
456,4374988,4310364,3566364,2966834,4252905,5058929
457,4367174,4307937,3566533,2966688,4253151,5065282
458,4367123,4305922,3566533,2966688,4253348,5066426
459,4373059,4303908,3566872,2966419,4253348,5060390
460,4373059,4302743,3566848,2966297,4253520,5059757
461,4369202,4302743,3566606,2965737,4253053,5066451
462,4365220,4301117,3566606,2964298,4252782,5065964
463,4370329,4298788,3565662,2962908,4252068,5065964
464,4370680,4297162,3565419,2961811,4251970,5059952
465,4362690,4295899,3565008,2961128,4251232,5061850
466,4363216,4294443,3564378,2960226,4250002,5065964
467,4370129,4292599,3564427,2960128,4249067,5061071
468,4369102,4291677,3564596,2960128,4247985,5060049
469,4362765,4291022,3564596,2960006,4247739,5066037
470,4364769,4290196,3564475,2959835,4247739,5065915
471,4364769,4290196,3564209,2958787,4246755,5058881
472,4367624,4290269,3564233,2958518,4246804,5058272
473,4361463,4289274,3564039,2957811,4246361,5064868
474,4358557,4288377,3563531,2957104,4246435,5064868
475,4365545,4287770,3563967,2955592,4245795,5062532
476,4366522,4287236,3563870,2954031,4245525,5058491
477,4360411,4287430,3563773,2951666,4244540,5064309
478,4361337,4286944,3563725,2948983,4243605,5065039
479,4368651,4287309,3564015,2948983,4242474,5059222
480,4368751,4287114,3564015,2946130,4241465,5059684
481,4362866,4287939,3564063,2943082,4241465,5066378
482,4362866,4287939,3563894,2940863,4241120,5066426
483,4364494,4287794,3563846,2938595,4240776,5059879
484,4370380,4287309,3564039,2936083,4240727,5059709
485,4365470,4287891,3563627,2934132,4239447,5059709
486,4364017,4287430,3564063,2932596,4239399,5065818
487,4370881,4287745,3564039,2931523,4238217,5063360
488,4370930,4288061,3564112,2931157,4237873,5057785
